,MPU4910111_20180628
1987-01-01,1133.05
1988-01-01,1201.47
1989-01-01,1321.14
1990-01-01,1361.77
1991-01-01,1389.76
1992-01-01,1453.97
1993-01-01,1564.62
1994-01-01,1692.15
1995-01-01,1807.5
1996-01-01,1905.73
1997-01-01,2030.79
1998-01-01,2083.69
1999-01-01,2239.68
2000-01-01,2318.66
2001-01-01,2376.28
2002-01-01,2518.19
2003-01-01,2724.34
2004-01-01,2949
2005-01-01,3301.83
2006-01-01,3496.32
2007-01-01,3663.95
2008-01-01,3693.73
2009-01-01,3611.16
2010-01-01,3900.27
2011-01-01,4029.67
2012-01-01,4233.66
2013-01-01,4442.81
2014-01-01,4674.49
2015-01-01,4791.49
2016-01-01,4920.01
