,MPU4900072_NBD20120101_20170712
1987-01-01,111.5027
1988-01-01,111.97565
1989-01-01,111.93386
1990-01-01,110.16363
1991-01-01,106.66496
1992-01-01,108.60708
1993-01-01,108.48647
1994-01-01,109.86828
1995-01-01,108.84166
1996-01-01,108.96132
1997-01-01,108.97366
1998-01-01,108.14743
1999-01-01,107.37723
2000-01-01,105.66493
2001-01-01,101.81961
2002-01-01,100.6097
2003-01-01,101.33337
2004-01-01,103.34862
2005-01-01,104.03145
2006-01-01,103.75509
2007-01-01,103.02858
2008-01-01,99.48052
2009-01-01,94.96947
2010-01-01,97.62101
2011-01-01,98.57736
2012-01-01,100
2013-01-01,100.38368
2014-01-01,101.27164
2015-01-01,102.03045
2016-01-01,101.49862
2017-01-01,.
