DATE,MPU4900043_NBD20120101_20170712
1989-01-01,260
1990-01-01,220
1991-01-01,186.66667
1992-01-01,160
1993-01-01,200
1994-01-01,233.33333
1995-01-01,280
1996-01-01,306.66667
1997-01-01,353.33333
1998-01-01,400
1999-01-01,420
2000-01-01,413.33333
2001-01-01,306.66667
2002-01-01,200
2003-01-01,166.66667
2004-01-01,166.66667
2005-01-01,213.33333
2006-01-01,233.33333
2007-01-01,193.33333
2008-01-01,153.33333
2009-01-01,46.66667
2010-01-01,26.66667
2011-01-01,73.33333
2012-01-01,100
2013-01-01,126.66667
2014-01-01,140
2015-01-01,160
2016-01-01,153.33333
2017-01-01,.
