DATE,MPU4910042_20180628
1987-01-01,43.295
1988-01-01,44.97
1989-01-01,46.848
1990-01-01,48.5
1991-01-01,50.035
1992-01-01,51.375
1993-01-01,53.175
1994-01-01,55.215
1995-01-01,57.71
1996-01-01,60.541
1997-01-01,63.911
1998-01-01,67.923
1999-01-01,72.46
2000-01-01,77.153
2001-01-01,80.873
2002-01-01,83.602
2003-01-01,85.916
2004-01-01,88.127
2005-01-01,90.946
2006-01-01,94.065
2007-01-01,96.9
2008-01-01,99.299
2009-01-01,100
2010-01-01,99.951
2011-01-01,101.134
2012-01-01,102.482
2013-01-01,104.439
2014-01-01,106.808
2015-01-01,109.604
2016-01-01,112.393
2017-01-01,114.911
